practiceName,address,city,state,zip,providerCount,specialties,phones,estimatedSize,isNamedPractice
Practice at 7031 SW 62ND AVE,7031 SW 62ND AVE,SOUTH MIAMI,FL,33143,1,Student in an Organized Health Care Education/Training Program,305-284-7761,small,
"ALLISON HIDALGO-GONZALEZ, DMD, PL",8585 SW 72 ST,MIAMI,FL,33143,1,"Dentist, General Practice",305-270-0171,small,1
Practice at 6705 S RED RD STE 518,6705 S RED RD STE 518,SOUTH MIAMI,FL,331433649,1,Dermatology,305-403-1181,small,
ALSMILE LLC,7550 SW 57TH AVE STE 214,SOUTH MIAMI,FL,331435336,1,"Dentist, General Practice",305-667-9860,small,1
Practice at 653-1 W 8TH ST,653-1 W 8TH ST,JACKSONVILLE,FL,322096511,1,Student in an Organized Health Care Education/Training Program,904-244-2000,small,
"ALVAREZ & GARCIA, PA.",6641-A SOUTH DIXIE HIGHWAY,MIAMI,FL,331437919,1,"Dentist, General Practice",305-667-0306,small,1
Practice at 7000 SW 62ND AVE STE 300,7000 SW 62ND AVE STE 300,SOUTH MIAMI,FL,331434719,1,Student in an Organized Health Care Education/Training Program,305-665-6501,small,
Practice at 6641 S DIXIE HWY,6641 S DIXIE HWY,MIAMI,FL,331437919,1,"Dentist, General Practice",305-667-0306,small,
Practice at 800 E MERRITT ISLAND CSWY STE 105,800 E MERRITT ISLAND CSWY STE 105,MERRITT ISLAND,FL,329523514,1,Dentist,321-453-8882,small,
Practice at 33497 S DIXIE HWY,33497 S DIXIE HWY,HOMESTEAD,FL,330345642,1,"Dentist, General Practice",305-874-7509,small,
Practice at 9333 SW 152ND STREET,9333 SW 152ND STREET,MIAMI,FL,33157,1,"Dentist, Oral and Maxillofacial Surgery",305-251-2500,small,
ANABEL PAYA DMD PA,6641 S DIXIE HWY UNIT A,MIAMI,FL,331437919,1,Dentist,305-667-0306,small,1
Practice at 7000 SW 62ND AVE PH 7,7000 SW 62ND AVE PH 7,SOUTH MIAMI,FL,331434716,1,Dermatology,305-243-6704,small,
Practice at 8940 N KENDALL DR,8940 N KENDALL DR,MIAMI,FL,331762148,1,"Dentist, Endodontics",305-275-8875,small,
"AOS MIAMI, PLLC",6641 S DIXIE HWY STE A,MIAMI,FL,331437919,1,"Dentist, Oral and Maxillofacial Surgery",305-762-9746,small,1
Practice at 232 N ORANGE BLOSSOM TRL,232 N ORANGE BLOSSOM TRL,ORLANDO,FL,328051612,1,Student in an Organized Health Care Education/Training Program,407-428-5751,small,
Practice at 5965 PONCE DE LEON BLVD.,5965 PONCE DE LEON BLVD.,CORAL GABLES,FL,33146,1,"Dentist, Pediatric Dentistry",305-502-3955,small,
"AMY L.S. BEKANICH, M.D., P.A.",3850 BIRD ROAD,MIAMI,FL,33146,1,Plastic Surgery,305-476-9772,small,1
Practice at 3815 SW 8TH ST,3815 SW 8TH ST,CORAL GABLES,FL,331343001,1,"Dentist, General Practice",305-443-7501,small,
"ARMIN DAEE D.M.D., P.A.",4950 S LE JEUNE RD,CORAL GABLES,FL,331462231,1,"Dentist, General Practice",305-670-1011,small,1
Practice at 3850 BIRD RD STE 301,3850 BIRD RD STE 301,MIAMI,FL,331461515,1,"Dentist, Pediatric Dentistry",305-445-9244,small,
Practice at 921 ALAVA AVE,921 ALAVA AVE,CORAL GABLES,FL,331461217,1,"Dentist, General Practice",786-439-9906,small,
Practice at 4425 PONCE DE LEON BLVD,4425 PONCE DE LEON BLVD,CORAL GABLES,FL,33146,1,Plastic Surgery,305-381-8837,small,
Practice at 135 SAN LORENZO AVE,135 SAN LORENZO AVE,CORAL GABLES,FL,331461513,1,"Dentist, General Practice",305-271-8321,small,
Practice at 1475 W 49TH PL,1475 W 49TH PL,HIALEAH,FL,330123113,1,Student in an Organized Health Care Education/Training Program,305-284-7774,small,
"BERNARD H COHEN, MD PA",4425 PONCE DE LEON BLVD,CORAL GABLES,FL,331461837,1,"Dermatology, Procedural Dermatology",305-476-9544,small,1
Practice at 1320 S DIXIE HWY,1320 S DIXIE HWY,CORAL GABLES,FL,331462926,1,Student in an Organized Health Care Education/Training Program,818-815-8817,small,
Practice at 5821 SAN AMARO DR,5821 SAN AMARO DR,CORAL GABLES,FL,331462402,1,Student in an Organized Health Care Education/Training Program,305-284-4131,small,
ADVANCED ENDODONTIC GROUP,1045 KANE CONCOURSE STE 204,BAY HARBOR ISLANDS,FL,331542119,1,"Dentist, Endodontics",305-615-6300,small,1
FAMILY & COSMETIC DENTISTRY AMD,1048 KANE CONCOURSE,BAY HARBOR ISLANDS,FL,331542132,5,"Dentist; Dentist, Periodontics; Dentist, General Practice; Dentist, Endodontics",305-615-5722; 305-865-0328,medium,1
"FLORIDA DENTAL PROFESSIONALS, P.A.",260 95TH ST STE 202,SURFSIDE,FL,331542807,2,"Dentist, General Practice",305-865-0453; 305-440-4229,small,1
"BARRY SHIPMAN DMD, PA",951 NE 167TH ST,NORTH MIAMI BEACH,FL,331623711,1,"Dentist, Prosthodontics",305-864-5557,small,1
BAY HARBOR DERMATOLOGY & COSMETIC CENTER,1045 95TH ST STE 300,BAY HARBOR ISLANDS,FL,331542108,1,Dermatology,305-403-6100,small,1
DENTAL ASSOCIATES OF BAL HARBOUR,260 95TH ST,SURFSIDE,FL,331542807,2,"Dentist; Clinic/Center, Dental",305-865-0453; 305-866-8290,small,1
Practice at 100 WOODS RD,100 WOODS RD,VALHALLA,NY,105951530,1,Student in an Organized Health Care Education/Training Program,914-493-7000,small,
Practice at 1111 KANE CONCOURSE STE 100,1111 KANE CONCOURSE STE 100,BAY HARBOR ISLANDS,FL,331542010,1,Dermatology,305-866-2177,small,
"CHILDREN'S HOSPITAL DENTISTRY, INC.",1411 N FLAGLER DR,WEST PALM BEACH,FL,334013404,1,"Clinic/Center, Dental",561-685-7020,small,1
Practice at 1160 KANE CONCOURSE,1160 KANE CONCOURSE,BAY HARBOR ISLANDS,FL,331542053,1,Dentist,305-861-9200,small,
COSMETIC SMILES DENTAL CARE LLC,11300 NW 87TH CT STE 166,HIALEAH GARDENS,FL,330184521,1,"Clinic/Center, Dental",305-364-9322,small,1
Practice at 1209 W BROWARD BLVD # 33312,1209 W BROWARD BLVD # 33312,FORT LAUDERDALE,FL,333121640,1,Dentist,954-763-3358,small,
Practice at 1611 NW 12 AVENUE,1611 NW 12 AVENUE,MIAMI,FL,33136,1,Student in an Organized Health Care Education/Training Program,305-585-6970,small,
"EDWARD A. KRUKOWSKI, DMD, PA",9801 COLLINS AVE,BAL HARBOUR,FL,331541815,1,"Clinic/Center, Dental",305-866-6662,small,1
Practice at 7975 NW 154TH ST STE 250,7975 NW 154TH ST STE 250,MIAMI LAKES,FL,330165806,1,"Dentist, Endodontics",305-615-6300,small,
ICOM BAY HARBOR LLC,1160 KANE CONCOURSE STE 203,BAY HARBOR ISLANDS,FL,331542020,2,Dental Hygienist; Dentist,305-560-5859,small,1
Practice at 18999 BISCAYNE BLVD STE 210,18999 BISCAYNE BLVD STE 210,AVENTURA,FL,331802814,1,"Dentist, General Practice",305-466-1444,small,
Practice at 9526 HARDING AVE,9526 HARDING AVE,SURFSIDE,FL,331542502,1,Dermatology,305-315-6526,small,
"Practice at GILBERT JACOBSON D.D,S. PA","GILBERT JACOBSON D.D,S. PA",BAY HARBOR,FL,33154,1,"Dentist, Periodontics",305-865-0328,small,
Practice at 9507 S DIXIE HWY,9507 S DIXIE HWY,MIAMI,FL,331562802,1,Dentist,305-849-7949,small,
"JEREMY B. FREEDMAN M.D., P.A.",1160 96TH ST STE 403,BAY HARBOR ISLANDS,FL,331542059,1,"Dermatology, MOHS-Micrographic Surgery",305-861-4439,small,1
JONATHAN TUMAN DDS PA,1111 KANE CONCOURSE STE 515,BAY HARBOR ISLANDS,FL,331542043,1,"Dentist, General Practice",305-865-7166,small,1
Practice at 9751 E. BAY HARBOR DR.,9751 E. BAY HARBOR DR.,MIAMI,FL,331543827,1,"Dentist, Pediatric Dentistry",305-867-3913,small,
"A. Y. YAZBACK, DMD, PA",9350 S DIXIE HWY STE 920,MIAMI,FL,331562996,1,"Clinic/Center, Dental",605-670-5100,small,1
Practice at 10201 HAMMOCKS BLVD,10201 HAMMOCKS BLVD,MIAMI,FL,331964712,1,"Dentist, General Practice",305-382-5000,small,
Practice at 348 ALHAMBRA CIR STE A,348 ALHAMBRA CIR STE A,CORAL GABLES,FL,331345004,1,Dentist,305-317-9887,small,
ALEXANDER D TRUJILLO DDS PA,8441 SW 132ND ST,MIAMI,FL,331566505,1,"Dentist, General Practice",305-235-9321,small,1
Practice at 7700 N KENDALL DR STE 302,7700 N KENDALL DR STE 302,MIAMI,FL,331567559,1,Student in an Organized Health Care Education/Training Program,305-299-0917,small,
Practice at 7400 N KENDALL DR,7400 N KENDALL DR,MIAMI,FL,331567706,1,Dentist,305-670-6662,small,
ANNA CHACON MD PA,8525 SW 92ND ST STE C11A,MIAMI,FL,331567386,1,Dermatology,305-902-5733,small,1
Practice at 10105 SW 78TH CT,10105 SW 78TH CT,MIAMI,FL,331562624,1,Dentist,305-301-7089,small,
ARTHUR SHAPIRO DMD PA,12035 S DIXIE HWY,MIAMI,FL,331565234,1,"Clinic/Center, Dental",305-233-8000,small,1
"B & Y DENTAL SPECIALISTS, LLC",8500 SW 92 STREET,MIAMI,FL,33156,1,"Dentist, General Practice",305-271-0861,small,1
Practice at 600 S ANDREWS AVE,600 S ANDREWS AVE,FORT LAUDERDALE,FL,333012851,1,Student in an Organized Health Care Education/Training Program,954-941-8300,small,
ADVANCED DENTAL WELLNESS CENTER,104 SE 1ST ST,FORT LAUDERDALE,FL,333011924,1,Dentist,954-525-5662,small,1
Practice at 350 E LAS OLAS BLVD STE 110,350 E LAS OLAS BLVD STE 110,FT LAUDERDALE,FL,333014214,1,Dermatology,954-765-3005,small,
Practice at 3333 NORTHLAKE BLVD STE 6,3333 NORTHLAKE BLVD STE 6,PALM BEACH GARDENS,FL,334031717,1,"Dentist, General Practice",561-508-8461,small,
Practice at 2300 E LAS OLAS BLVD STE 3W,2300 E LAS OLAS BLVD STE 3W,FORT LAUDERDALE,FL,333011578,1,"Dentist, Prosthodontics",954-467-0303,small,
"B HARVEY WIENER, DDS., PA",800 E BROWARD BLVD,FORT LAUDERDALE,FL,333012008,1,"Dentist, Endodontics",954-463-9191,small,1
Practice at 800 EAST BROWARD BLVD,800 EAST BROWARD BLVD,FORT LAUDERDALE,FL,333012020,1,Dermatology,954-463-5406,small,
Practice at 2701 W OAKLAND PARK BLVD STE 205B,2701 W OAKLAND PARK BLVD STE 205B,OAKLAND PARK,FL,333111330,1,Dentist,727-543-1077,small,
Practice at 1601 E BROWARD BLVD,1601 E BROWARD BLVD,FORT LAUDERDALE,FL,333012160,1,Dermatology,954-463-3421,small,
Practice at 800 E BROWARD BLVD STE 410,800 E BROWARD BLVD STE 410,FT LAUDERDALE,FL,333012033,1,Dentist,954-463-4794,small,
Practice at 8320 W SUNRISE BLVD,8320 W SUNRISE BLVD,PLANTATION,FL,333225435,1,"Dentist, Endodontics",954-474-9660,small,
Practice at 1500 E BROWARD BLVD,1500 E BROWARD BLVD,FT LAUDERDALE,FL,33301,1,"Dentist, Orthodontics and Dentofacial Orthopedics",954-463-4653,small,
Practice at 500 E LAS OLAS BLVD APT 1601,500 E LAS OLAS BLVD APT 1601,FORT LAUDERDALE,FL,333012576,1,Student in an Organized Health Care Education/Training Program,607-226-2266,small,
Practice at 4725 N FEDERAL HWY,4725 N FEDERAL HWY,FORT LAUDERDALE,FL,333084603,1,Student in an Organized Health Care Education/Training Program,954-771-8000,small,
Practice at 1625 E LAS OLAS BLVD,1625 E LAS OLAS BLVD,FORT LAUDERDALE,FL,333012357,1,"Dentist, General Practice",954-463-5051,small,
Practice at 3501 JOHNSON ST,3501 JOHNSON ST,HOLLYWOOD,FL,330215421,1,Student in an Organized Health Care Education/Training Program,860-334-6266,small,
CHARLES F HALFPENNY MD LLC,12 NE 12TH AVE,FT LAUDERDALE,FL,333011604,1,Independent Medical Examiner,954-463-3416,small,1
Practice at 137 NW 100 AVENUE,137 NW 100 AVENUE,PLANTATION,FL,33324,1,Dermatology,954-577-5161,small,
BEAUTYSMART DERMATOLOGY CLINIC AND MEDICAL SPA LLC,94 S FEDERAL HWY,BOCA RATON,FL,334324825,1,"Dermatology, Procedural Dermatology",561-990-7294,small,1
Practice at 3000 N UNIVERSITY DR STE K,3000 N UNIVERSITY DR STE K,CORAL SPRINGS,FL,330655082,1,Dermatology,954-752-2630,small,
Practice at 3319 FL-7 #202,3319 FL-7 #202,WELLINGTON,FL,33449,1,Dermatology,561-847-4751,small,
"BOCA DENTAL, INC",925 S FEDERAL HWY STE 315,BOCA RATON,FL,334326100,1,"Dentist, General Practice",561-226-0100,small,1
BRILLIANT SMILES OF BOCA RATON LLC,315 SE MIZNER BLVD STE 216,BOCA RATON,FL,334326086,2,"Dentist; Dentist, General Practice",561-338-5005,small,1
Practice at 2151 S ALTERNATE A1A STE 1300,2151 S ALTERNATE A1A STE 1300,JUPITER,FL,334773900,1,Dentist,561-575-5599,small,
"FRIEDMAN DENTAL GROUP PALM BEACH, PLLC",254 SUNSET AVE,PALM BEACH,FL,334803815,2,"Dentist, Prosthodontics",561-655-2347; 561-655-2910,small,1
Practice at 235 PERUVIAN AVE,235 PERUVIAN AVE,PALM BEACH,FL,334804695,2,"Dentist, Prosthodontics; Dentist, General Practice",561-802-4424,small,
"LAYNE D. NISENBAUM, DO, PA",50 COCOANUT ROW,PALM BEACH,FL,334804025,2,"Dentist, General Practice; Dermatology",561-833-2611; 561-832-1950,small,1
"EAST COAST PLASTIC SURGERY OF FLORIDA, PLLC",175 BRADLEY PL,PALM BEACH,FL,334803785,1,"Surgery, Plastic and Reconstructive Surgery",212-628-7300,small,1
Practice at 340 ROYAL POINCIANA WAY,340 ROYAL POINCIANA WAY,PALM BEACH,FL,334804048,1,"Dentist, General Practice",561-832-6647,small,
Practice at 44 COCOANUT ROW STE 206,44 COCOANUT ROW STE 206,PALM BEACH,FL,334804069,1,Dentist,561-832-4675,small,
Practice at 44 COCOANUT ROW,44 COCOANUT ROW,PALM BEACH,FL,334804069,1,"Dentist, General Practice",561-832-4675,small,
Practice at 100 STEIN PLAZA,100 STEIN PLAZA,LOS ANGELES,CA,90095,1,"Surgery, Plastic and Reconstructive Surgery",310-825-3090,small,
THE OFFICES OF DR PAUL MELCHIORRE PLLC,249 PERUVIAN AVE STE R2,PALM BEACH,FL,334806036,2,"Dentist, General Practice; Clinic/Center, Dental",561-655-0666,small,1
Practice at 4201 S OCEAN BLVD APT K3,4201 S OCEAN BLVD APT K3,SOUTH PALM BEACH,FL,334805860,1,Health & Wellness Coach,561-838-6589,small,
Practice at 249 PERUVIAN AVE,249 PERUVIAN AVE,PALM BEACH,FL,334806034,1,"Dentist, General Practice",561-655-0666,small,
"RISIN PLASTIC SURGERY ASSOCIATES, PLLC",44 COCOANUT ROW STE B126,PALM BEACH,FL,334804069,1,Plastic Surgery,561-515-5787,small,1
Practice at 3476 NW FEDERAL HWY,3476 NW FEDERAL HWY,JENSEN BEACH,FL,349574441,1,"Dentist, Oral and Maxillofacial Surgery",772-692-4002,small,
Practice at 139 N COUNTY RD,139 N COUNTY RD,PALM BEACH,FL,334803908,1,Dermatology,561-835-1915,small,
TILLINGER DENTAL PLLC,4300 ALTON RD # 1190,MIAMI BEACH,FL,331402948,1,"Clinic/Center, Dental",954-770-3300,small,1
Practice at 333 BORTHWICK AVE,333 BORTHWICK AVE,PORTSMOUTH,NH,038017128,1,Student in an Organized Health Care Education/Training Program,212-203-0975,small,
Practice at 160 SE 6TH AVE STE B-1,160 SE 6TH AVE STE B-1,DELRAY BEACH,FL,334835264,1,Dentist,561-276-6684,small,
Practice at 160 SE 6TH AVE # B1,160 SE 6TH AVE # B1,DELRAY BEACH,FL,33483,1,Dentist,561-276-6684,small,
"BRENT SCHILLINGER, M.D. PA",3100 S FEDERAL HWY STE 8,DELRAY BEACH,FL,334833320,1,Dermatology,561-278-1362,small,1
CARE ONE DENTAL LLC,2275 S FEDERAL HWY,DELRAY BEACH,FL,334833337,1,"Dentist, General Practice",561-440-4866,small,1
CARE ONE DENTAL OF BOYNTON PA,8135 S MILITARY TRL STE 105,BOYNTON BEACH,FL,334361504,1,"Clinic/Center, Dental",561-704-0555,small,1
Practice at 550 SE 6TH AVE STE 100,550 SE 6TH AVE STE 100,DELRAY BEACH,FL,334835306,1,"Surgery, Plastic and Reconstructive Surgery",561-440-8020,small,
Practice at 1640 S FEDERAL HWY,1640 S FEDERAL HWY,DELRAY BEACH,FL,334835030,2,"Dentist; Dentist, General Practice",561-276-5800,small,
Practice at 845 NE 6TH AVE,845 NE 6TH AVE,DELRAY BEACH,FL,334835734,1,Dentist,561-272-0040,small,
Practice at 1010 S FEDERAL HWY,1010 S FEDERAL HWY,DELRAY BEACH,FL,334835132,1,Plastic Surgery,561-414-2575,small,
Practice at 505 NE 3RD ST STE 2,505 NE 3RD ST STE 2,DELRAY BEACH,FL,334835541,1,"Dentist, Periodontics",561-276-3889,small,
Practice at 2275 S FEDERAL HWY STE 310,2275 S FEDERAL HWY STE 310,DELRAY BEACH,FL,334833332,1,Dentist,561-894-4299,small,
DELRAY DERMATOLOGY LLC,550 SE 6TH AVE,DELRAY BEACH,FL,334835252,1,Dermatology,561-440-8020,small,1
DENTAL TEAM OF ATLANTIS,109 JOHN F KENNEDY DR STE E,ATLANTIS,FL,334626617,1,"Clinic/Center, Dental",561-612-7931,small,1
Practice at 505 SE 6TH AVENUE,505 SE 6TH AVENUE,DELRAY BEACH,FL,33483,1,"Dentist, Endodontics",561-243-0100,small,
Practice at 3223 SAINT ANNES DR,3223 SAINT ANNES DR,BOCA RATON,FL,334962517,1,Dentist,561-241-4782,small,
Practice at 5183 NW 25TH WAY,5183 NW 25TH WAY,BOCA RATON,FL,334962209,1,Student in an Organized Health Care Education/Training Program,561-866-9235,small,
BRUSH BOCA,2901 CLINT MOORE RD STE 6,BOCA RATON,FL,334962044,1,Dentist,561-997-0061,small,1
Practice at 8918 LANTANA RD STE B,8918 LANTANA RD STE B,LAKE WORTH,FL,334676136,1,"Dentist, General Practice",347-742-0342,small,
Practice at 6001 NW 24TH TER,6001 NW 24TH TER,BOCA RATON,FL,334963642,1,Dentist,404-502-4953,small,
Practice at 9101 LAKERIDGE BLVD STE 9,9101 LAKERIDGE BLVD STE 9,BOCA RATON,FL,334962147,1,"Dentist, General Practice",561-852-7700,small,
"DANIEL S. KOVACS, M.D., P.A.",1905 CLINT MOORE RD,BOCA RATON,FL,334962658,1,Plastic Surgery,561-912-9191,small,1
Practice at 11119 HEARTH RD,11119 HEARTH RD,SPRING HILL,FL,346083727,1,Dentist,352-683-2283,small,
Practice at 1905 CLINT MOORE RD,1905 CLINT MOORE RD,BOCA RATON,FL,33496,1,Plastic Surgery,561-998-3333,small,
EPIC SMILE CENTERS OF MICHIGAN PLLC,30969 ORCHARD LAKE RD,FARMINGTON HILLS,MI,483341338,1,"Clinic/Center, Dental",866-374-2764,small,1
Practice at 7200 CAMBRIDGE ST STE 10A,7200 CAMBRIDGE ST STE 10A,HOUSTON,TX,770304202,1,Student in an Organized Health Care Education/Training Program,713-986-7396,small,
Practice at 5629 REGENCY CIR E,5629 REGENCY CIR E,BOCA RATON,FL,334962722,1,"Dentist, Pediatric Dentistry",516-314-7411,small,
Practice at 350 7TH ST N,350 7TH ST N,NAPLES,FL,341025754,7,Student in an Organized Health Care Education/Training Program,239-624-0940; 239-624-5000; 239-624-9040,medium,
ADVANCED DERMATOLOGY & SKIN SURGERY SPECIALISTS PA,1000 GOODLETTE RD N,NAPLES,FL,341025474,1,Dermatology,239-529-3376,small,1
Practice at 1008 GOODLETTE RD STE 100,1008 GOODLETTE RD STE 100,NAPLES,FL,341025406,1,"Dentist, General Practice",239-307-5445,small,
AMERICAN SMILE INC,681 GOODLETTE RD STE 110,NAPLES,FL,341025612,2,"Clinic/Center, Dental",239-298-2519,small,1
Practice at 1333 3RD AVE S STE 501,1333 3RD AVE S STE 501,NAPLES,FL,341026538,1,Dermatology,239-300-9767,small,
Practice at 900 5TH AVE S,900 5TH AVE S,NAPLES,FL,341026483,1,Dentist,239-732-9000,small,
"AEGEAN DENTAL OF NAPLES, LLC",987 HIGH POINT DR,NAPLES,FL,341033877,1,Dentist,239-231-4089,small,1
AMERICAN DENTAL GROUP,5100 TAMIAMI TRAIL N,NAPLES,FL,34103,1,Dentist,239-406-4334,small,1
Practice at 12692 TAMIAMI TRL E,12692 TAMIAMI TRL E,NAPLES,FL,341138431,1,Dental Hygienist,239-417-6453,small,
COLLIER DENTAL STUDIO,3400 TAMIAMI TRL N,NAPLES,FL,341033717,2,"Dentist, General Practice",239-234-6368,small,1
"BOE, PAGE & PAGE DENTAL GROUP PLLC",4953 CASTELLO DR,NAPLES,FL,341038927,2,"Dentist, General Practice; Dentist",239-263-2122,small,1
BRACHO DENTAL SOLUTIONS LLC,925 HIGH POINT DR,NAPLES,FL,341033879,2,"Dentist, General Practice",239-262-1535,small,1
"BRADLEY T. PIOTROWSKI, DDS, MSD, LLC",1044 CASTELLO DR,NAPLES,FL,341038901,1,"Dentist, Periodontics",239-263-6003,small,1
Practice at 4619 TAMIAMI TRL N,4619 TAMIAMI TRL N,NAPLES,FL,341033004,1,Dentist,239-262-3202,small,
Practice at 1459 RIDGE ST,1459 RIDGE ST,NAPLES,FL,341034211,1,"Dentist, Oral and Maxillofacial Surgery",239-263-7474,small,
Practice at 2500 TAMIAMI TRL N,2500 TAMIAMI TRL N,NAPLES,FL,341034470,1,"Dentist, General Practice",239-775-5588,small,
Practice at 5200 TAMIAMI TRL N,5200 TAMIAMI TRL N,NAPLES,FL,341032817,1,Plastic Surgery,239-263-6766,small,
Practice at 4933 TAMIAMI TRL N,4933 TAMIAMI TRL N,NAPLES,FL,341033028,2,"Dentist, Orthodontics and Dentofacial Orthopedics; Dentist, Periodontics",239-434-0030; 239-649-7766,small,
Practice at 5185 CASTELLO DR,5185 CASTELLO DR,NAPLES,FL,341038903,1,"Dentist, Prosthodontics",239-262-1404,small,
DENTAL DESIGNS OF NAPLES LLC,5048 TAMIAMI TRL N STE A,NAPLES,FL,341032836,1,"Clinic/Center, Oral and Maxillofacial Surgery",239-262-7970,small,1
